"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Shell Script", "HTML", "Vue", "CSS", "comment", "blank", "total"
"/Users/admin/code/vue-router/README.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 29, 72
"/Users/admin/code/vue-router/bower.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/admin/code/vue-router/build/build.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 3, 6, 69
"/Users/admin/code/vue-router/build/ci.sh", "Shell Script", 0, 0, 0, 0, 11, 0, 0, 0, 4, 1, 16
"/Users/admin/code/vue-router/build/e2e.sh", "Shell Script", 0, 0, 0, 0, 11, 0, 0, 0, 3, 3, 17
"/Users/admin/code/vue-router/build/karma.config.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 41
"/Users/admin/code/vue-router/build/nightwatch.local.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/admin/code/vue-router/build/nightwatch.sauce.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/admin/code/vue-router/build/release.sh", "Shell Script", 0, 0, 0, 0, 17, 0, 0, 0, 4, 6, 27
"/Users/admin/code/vue-router/build/update-docs.sh", "Shell Script", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/admin/code/vue-router/build/webpack.dev.config.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/admin/code/vue-router/circle.yml", "YAML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/admin/code/vue-router/dist/vue-router.js", "JavaScript", 0, 0, 0, 1732, 0, 0, 0, 0, 626, 351, 2709
"/Users/admin/code/vue-router/dist/vue-router.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"/Users/admin/code/vue-router/docs/LANGS.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/admin/code/vue-router/docs/assets/circle.yml", "YAML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/admin/code/vue-router/docs/book.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/admin/code/vue-router/docs/en/README.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/admin/code/vue-router/docs/en/SUMMARY.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/admin/code/vue-router/docs/en/api/README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/admin/code/vue-router/docs/en/api/after-each.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 11, 26
